Tarea,Código BIM,Unidad,Cantidad Ejecutada,Cantidad Programada,% Completado,Comienzo Real,Fin Real,Duración Real,% Financiero Ejecutado,Desviación (%),% Programado,Variación de Finalización,Costo Previsto,Costo Real
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,285541,285541.0,0,0 days,285541,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",4755071,4755071.0,0,0 days,4755071,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,3894439,3894439.0,0,0 days,3894439,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",279825,279825.0,0,0 days,279825,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,3614614,3614614.0,0,0 days,3614614,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"2,5 days",8331128,8331128.0,0,0 days,8331128,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"2,5 days",8331128,8331128.0,0,0 days,8331128,0
          Retiro de bajantes,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",51311,51311.0,0,0 days,51311,0
        Sistema Eléctrico,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",964415,964415.0,0,0 days,964415,0
"          Suministro, transporte e instalación de luminaria industrial tipo hermética, con tubo LED difusor en policarbonato, 2x18W T8. Chasis en policarbonato resistente al impacto, 6500°K, 3600lm, IRC=70, 40.000 Horas - L70, IP=65, IK=06, 36W, 100-240V 50/60Hz. I",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",964415,964415.0,0,0 days,964415,0
      Circulación,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"5,5 days",6014398,6014398.0,0,0 days,6014398,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,5435749,5435749.0,0,0 days,5435749,0
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,3 days,2369779,2369779.0,0,0 days,2369779,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,137257,137257.0,0,0 days,137257,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",2232522,2232522.0,0,0 days,2232522,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,2163148,2163148.0,0,0 days,2163148,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",155427,155427.0,0,0 days,155427,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,2007721,2007721.0,0,0 days,2007721,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",861243,861243.0,0,0 days,861243,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",861243,861243.0,0,0 days,861243,0
          Retiro de bajantes,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",41579,41579.0,0,0 days,41579,0
        Sistema Eléctrico,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",578649,578649.0,0,0 days,578649,0
"          Suministro, transporte e instalación de luminaria industrial tipo hermética, con tubo LED difusor en policarbonato, 2x18W T8. Chasis en policarbonato resistente al impacto, 6500°K, 3600lm, IRC=70, 40.000 Horas - L70, IP=65, IK=06, 36W, 100-240V 50/60Hz. I",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",578649,578649.0,0,0 days,578649,0
  Bloque 6,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"50,75 days",29652741,29652741.0,0,0 days,29652741,0
    Piso 1,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"50,75 days",29652741,29652741.0,0,0 days,29652741,0
      Portería,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"50,75 days",29652741,29652741.0,0,0 days,29652741,0
        Piso,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"16,25 days",3669722,3669722.0,0,0 days,3669722,0
"          Corte de pisos en concreto por medios mecanicos hasta 2""",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",67284,67284.0,0,0 days,67284,0
"          DEMOLICIÓN DE ANDENES Y PISOS en concreto (acabado y soporte) de espesor máximo de 0.30 m. incluye cargue, transporte y botada de escombros en sitio oficial. Incluye compresor neumático con martillo, retiros de tapas de instalaciones de servicios públicos",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",113087,113087.0,0,0 days,113087,0
"          Excavacion  a mano o a maquina en material heterogeneo ( rocas hasta volumenes de 0.10 ) bajo cualquier grado de humedad, para estructuras( diferentes a pilas),para redes y obras complementarias. De 0.00 a 2.00 mt. De profundidad. A mano",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",78776,78776.0,0,0 days,78776,0
"          Cargue y botada de escombros provenientes de explanaciones y excavaciones, medido en sitio compactado. El precio incluye el factor de expansión de material,empacado en costales",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",528944,528944.0,0,0 days,528944,0
          Malla electrosoldada tipo D 84.,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",25883,25883.0,0,0 days,25883,0
"          Suministro y colocacion de concreto  f' c= 21 Mpa (210 Kg/cm2),  incluye formaleta, desmoltante, proteccion y curado para estructuras de acuerdo con las diferentes dimensiones establecidas en los planos y diseños.. Para vigas de amarre de fundación.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,1425298,1425298.0,0,0 days,1425298,0
"          Construcción de piso en  concreto de   21 Mpa., Incluye juntas de dilatación y acabado como lo determine la interventoría. De espesor  0,08 m.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,3 days,544298,544298.0,0,0 days,544298,0
          Construccion de llenos compactados con material de subbase granular.,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",196661,196661.0,0,0 days,196661,0
"          Suminstro e instalacion de enchape pared 30 X 60 cm, enchape rectificado, pasta blanca de Corona o similar Incluye: pegacor, concolor , varilla tipo wing en aluminio anodizado blanco en esquinas y cambio de dirección y todos los demás elementos necesarios",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,265854,265854.0,0,0 days,265854,0
"          Suministro e instalación de piso ceramica tipo mikonos de 33,8 mm. X33,8 mm. color a definir en obra ,para unidades sanitarias y restaurantes , incluye mortero de nivelación 1:5 y pegacor.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,423637,423637.0,0,0 days,423637,0
        Muro,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"21,5 days",9181704,9181704.0,0,0 days,9181704,0
          Viga,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"13,5 days",2093166,2093166.0,0,0 days,2093166,0
            F y = 420 Mpa. (4200 kg/cm².),,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",1134452,1134452.0,0,0 days,1134452,0
"            Viga area de 0,20x 0,20 acabado a la vista",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,958714,958714.0,0,0 days,958714,0
"          Construcción de MAMPOSTERÍA EN BLOQUE DE CONCRETO 13 Mpa. TIPO CATALÁN DE 10 x 15 x 30 cm, ESPESOR DE 15 cm. Color ROJO, NEGRO, VERDE OLIVA, JASPE, TERRACOTA, MARRÓN, ANTICADO,ARENA, OCRE que cumpla norma NTC 4026 y 4076. Incluye: mortero de pega 0.25:1:4",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,3 days,4424109,4424109.0,0,0 days,4424109,0
          Concreto grauting para vaciado en mamposteria estructural.,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,630688,630688.0,0,0 days,630688,0
"          Construcción de dinteles en concreto de 21 Mpa. Incluye: formaleta, protección y curado. No incluye refuerzo. De 0,15x0,20m.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,257840,257840.0,0,0 days,257840,0
          Suministro y colocacion de chapa en catalan 10x30 cm. Utilizar cortadora.,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",85039,85039.0,0,0 days,85039,0
          Suministro y aplicaciòn de hidrófugo impermeabilizante del tipo siliconite o similar para mamposteria de fachadas dos manos,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,1690862,1690862.0,0,0 days,1690862,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"46,5 days",3896011,3896011.0,0,0 days,3896011,0
          Teja,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"44,5 days",1850863,1850863.0,0,0 days,1850863,0
"            Construcción de techo en teja de barro.El contratista calculara la estructura para una carga de 210 kg/m2 se requiere diseño estructural y memorias con previa aprobaciòn de la interventoria, incluye: alfardas de secciòn 21/2""x6"" comerciales, solera 21/2""x",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",1850863,1850863.0,0,0 days,1850863,0
            <Tarea nueva>,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day?,0,0.0,0,0 days,0,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",1103604,1103604.0,0,0 days,1103604,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",1103604,1103604.0,0,0 days,1103604,0
          Canoa,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",433352,433352.0,0,0 days,433352,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",433352,433352.0,0,0 days,433352,0
          Ruana,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,508192,508192.0,0,0 days,508192,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,508192,508192.0,0,0 days,508192,0
        Red Sanitaria,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"4,25 days",3236956,3236956.0,0,0 days,3236956,0
"          Suministro  y colocación de tubería   PVC-S  para aguas negras y aguas lluvias. Incluye: accesorios, limpiador y soldaduras . Ø =  2"".",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,260883,260883.0,0,0 days,260883,0
"          Suministro  y colocación de tubería   PVC-S  para aguas negras y aguas lluvias. Incluye: accesorios, limpiador y soldaduras . Ø =  4"".",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,516612,516612.0,0,0 days,516612,0
"          Construcción de salidas sanitarias en tuberia PVC-S; incluye accesorios ( considerada de la Yee al aparato). En 2 pulgadas, de L=1,50/2,00 m.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",350404,350404.0,0,0 days,350404,0
"          Construcción de salidas sanitarias en tuberia PVC-S; incluye accesorios ( considerada de la Yee al aparato). En 4 pulgadas, de L=1,50/2,00 m.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",182194,182194.0,0,0 days,182194,0
"          Suministro y colocación de Sanitario bajo consumo, a color. Incluye: brida de fijación, tapon con rosca para brida del color del sanitario, grifería, abasto metálico,( con manguera flexible), emboquillado con silicona antihongos y todos los elementos nece",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,25 days",750572,750572.0,0,0 days,750572,0
"          Suministro y colocación de Lavamanos Integral, a color. Incluye Griferia Koral metalica, baja para lavamanos, llave de abastos y todos los elementos necesarios para su correcto funcionamiento.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,25 days",547413,547413.0,0,0 days,547413,0
"          Suministro y colocación de rejilla de piso anti cucarachas en acero inoxidable 10X10 tipo grival o similar. Ø =  2"".",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,25 days",64556,64556.0,0,0 days,64556,0
"          Suministro, transporte e instalación de lavaescobas prefabricado en granito + cemento blanco de 0,60 m. x 0,42 x 0,25 m. tipo Cimbrados. Incluye : desagüe conformado por 1 unión, tubería PVC- S de 11/2"", 1 sifón con tapón roscado, 1 codo de 90 c x c, 1 ad",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",564322,564322.0,0,0 days,564322,0
        Red  Hidraúlica,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,25 days",1156151,1156151.0,0,0 days,1156151,0
"          Suministro y colocación de tubería  PVC.  Presión , incluye accesorios,limpiador y soldaduras Ø =  ½"" RDE 9",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",111101,111101.0,0,0 days,111101,0
"          Suministro y colocación de tubería  PVC.  Presión , incluye accesorios,limpiador y soldaduras.  Ø =  ¾"".RDE 11",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,25 days",66205,66205.0,0,0 days,66205,0
"          Construcción de salida hidraulica en tuberia PVC-P; incluye: tuberia , accesorios, camara de aire y terminales en cobre, limpiador , soldadura, L= 0,50 a 2,00 m. ( considerada de red principal al aparato). Ø =  ½"" RDE 9, 500 PSI",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,25 days",431946,431946.0,0,0 days,431946,0
"          Suministro, transporte e instalación de abasto llave metalica.Incluye: retiro del existente. Griferia Koral metalica, baja para lavamanos",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,25 days",341751,341751.0,0,0 days,341751,0
"          Suministro e instalación de llaves de paso, tipo Red white. Incluye todos los accesorios necesarios para su correcto funcionamiento, de : Diametro 3/4""",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,25 days",205148,205148.0,0,0 days,205148,0
        Carpintería Metálica,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,2364823,2364823.0,0,0 days,2364823,0
          Puerta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",1667768,1667768.0,0,0 days,1667768,0
"            Suministro, transporte e instalación de puerta metálica, un (1) ala batiente en lámina cold rolled calibre 18, entamborada lisa, rellena con porón (poliuretano expandido), con bastidor perimetral en tubería PTS de 40x40x2 mm. y refuerzos horizontales en t",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",1667768,1667768.0,0,0 days,1667768,0
          Ventana,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",697055,697055.0,0,0 days,697055,0
"            Suministro, transporte y colocación de ventanas en aluminio anodizado natural y cristal templado de 6 mm., sistema 8025 de alúmina o equivalente y sistema Vp-3831. parte superior en celosía fija de aluminio anodizado natural, parte inferior dividida en va",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",697055,697055.0,0,0 days,697055,0
        Sistema Eléctrico,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"13,75 days",6147374,6147374.0,0,0 days,6147374,0
"          Inspección, diagnóstico y adecuación de redes electricas ante fallas de energía y emergencias que afecten la continuidad del proceso educativo. Incluye: diagnóstico, restablecimiento del servicio de energía, reencendido de equipos, corrección/aislamiento ",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,348598,348598.0,0,0 days,348598,0
          Mano de obra para la organización de cableados varios existentes en canaleta 11x5/12x5 cm. No incluye canaleta.,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,697196,697196.0,0,0 days,697196,0
          Retiro de instalaciones y elementos eléctricos existentes. Incluye el reintegro donde la interventoría/supervisión lo indique.,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,348598,348598.0,0,0 days,348598,0
"          Suministro, transporte e instalación de tubería metálica EMT 1/2"". Incluye adaptadores, uniones, grapas doble ala, marcación y demás accesorios necesarios para su correcta instalación.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",976679,976679.0,0,0 days,976679,0
"          Suministro, transporte e instalación de caja metálica 12X12X5cm, de sobreponer, con tapa atornillada (tapa lisa/tapa toma/tapa suiche), calibre 20, pintura electrostática gris. Incluye accesorios de fijación y demás elementos necesarios para su correcta i",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",164646,164646.0,0,0 days,164646,0
"          Suministro, transporte e instalación de tablero de 6 circuitos monofásico 3H, 120V con puerta y chapa, para breaker enchufable, de lamina cold rolled con aplicación de pintura electrostática: Blanco RAL 9003, barraje en cobre de 75A, barra de neutro y bar",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",198552,198552.0,0,0 days,198552,0
"          Suministro, transporte e instalación de SALIDA eléctrica para TOMACORRIENTE doble con polo a tierra color blanco, 15A, 125V, en tubería EMT. Incluye: 3m de cable de cobre 1xNº12 AWG Libre de halógenos (HF) y Resistente a la llama (FR), marcación, caja met",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,25 days",77079,77079.0,0,0 days,77079,0
"          Suministro, transporte e instalación de SALIDA eléctrica para TOMACORRIENTE doble GFCI, 15A, 125V, en tubería EMT. Incluye: 3m de cable de cobre 1xNº12 AWG Libre de halógenos (HF) y Resistente a la llama (FR), marcación, caja metálica 12x12x5cm, aparato c",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,25 days",144570,144570.0,0,0 days,144570,0
"          Suministro, transporte e instalación de salida eléctrica para iluminación 120V, en tubería EMT. Incluye: 3m de cable de cobre 1xNº12 AWG Libre de halógenos (HF) y Resistente a la llama (FR), marcación, caja metálica 12x12x5cm con tapa, conectores tipo res",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",144956,144956.0,0,0 days,144956,0
"          Suministro, transporte e instalación de salida eléctrica para switch doble, 15A, 120V, en tubería EMT. Incluye: 4m de cable de cobre 1xNº12 AWG Libre de halógenos (HF) y Resistente a la llama (FR), marcación, caja metálica 12x12x5cm con tapa, aparato, con",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,25 days",218577,218577.0,0,0 days,218577,0
"          Suministro e instalación de interruptor (breaker) termomagnético enchufable 1x20A, Icc=10kA, 120/240V, Certificado UL SWD.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",70025,70025.0,0,0 days,70025,0
"          Suministro, transporte e instalación de alimentador en cable de cobre 3xNo12 AWG, Libre de halógenos (HF), resistente a la llama (FR), 90°C. Incluye accesorios para su correcta instalación y funcionamiento según RETIE.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,282371,282371.0,0,0 days,282371,0
"          Suministro, transporte e instalación de alimentador en cable de cobre 1xNo12 AWG, Libre de halógenos (HF), resistente a la llama (FR), 90°C. Incluye accesorios para su correcta instalación y funcionamiento según RETIE.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",98682,98682.0,0,0 days,98682,0
"          Suministro, transporte e instalación de alimentador en cable de cobre 1xNo10 AWG, Libre de halógenos (HF), resistente a la llama (FR), 90°C. Incluye accesorios para su correcta instalación y funcionamiento según RETIE.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,139322,139322.0,0,0 days,139322,0
"          Suministro, transporte e instalación de alimentador en cable de cobre encauchetado 3xNo12 AWG PVC Retardante a la llama (FR) Resistente a la intemperie (SR), 90ºC. Incluye accesorios para su correcta instalación y funcionamiento según RETIE.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",636288,636288.0,0,0 days,636288,0
"          Suministro, transporte e instalación de luminaria industrial tipo hermética, con tubo LED difusor en policarbonato, 2x18W T8. Chasis en policarbonato resistente al impacto, 6500°K, 3600lm, IRC=70, 40.000 Horas - L70, IP=65, IK=06, 36W, 100-240V 50/60Hz. I",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",578649,578649.0,0,0 days,578649,0
"          Suministro, transporte e instalación de luminaria LED tipo reflector 200W para interiores o exteriores, con soporte metálico para instalar sobrepuesto y driver integrado en la luminaria. Chasis en alumino extruído resistente a la humedad, 6500°K, 20000lm,",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",1022586,1022586.0,0,0 days,1022586,0
  ÁREAS TRANSVERSALES,,,0 hrs,0 hrs,44,2024-09-12 09:00:00,0001-01-01 00:00:00,87 days,24598494,24598494.0,0,0 days,24598494,7675437.75
    Ambiental,,,0 hrs,0 hrs,25,2024-09-12 09:00:00,0001-01-01 00:00:00,87 days,13514707,13514707.0,0,0 days,13514707,3378676.75
    Seguridad y salud en el trabajo,,,0 hrs,0 hrs,25,2024-09-12 09:00:00,0001-01-01 00:00:00,87 days,3089368,3089368.0,0,0 days,3089368,772342
    Social,,,0 hrs,0 hrs,25,2024-09-12 09:00:00,0001-01-01 00:00:00,87 days,5960000,5960000.0,0,0 days,5960000,1490000
    Poliza,,,0 hrs,0 hrs,100,2024-09-12 09:00:00,2025-01-10 19:00:00,87 days,2034419,2034419.0,100,0 days,2034419,2034419
  GERENCIA DE PROYECTO,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,87 days,0,0.0,0,0 days,0,0
    Gestión de adquisiciones,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,87 days,0,0.0,0,0 days,0,0
    FIN,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0 days,0,0.0,0,0 days,0,0
