INSTITUCIÓN/SEDE/FRENTE DE TRABAJO;CLIENTE;CONTRATO INTERADMINISTRATIVO;PROYECTO;SUBPROYECTO;AÑO CTO;CONTRATO;COMUNA;TIPOLOGÍA;ESTADO;F_INICIO;"PLAZO(DÍAS)";"PRÓRROGAS(DÍAS)";"SUSPENSIONES(DÍAS)";TIEMPO TOTAL;F_FINAL;PLAZO REMANENTE;VALOR INICIAL OBRA;ADICIONES;BALANCES O REDISTRIBUCIONES;VALOR ACTUAL DEL CONTRATO;VALOR ACTUAL REAJUSTES ;VALOR ACTUAL IMPREVISTOS; VALOR ACTUAL CONTINGENCIAS ;VALOR TOTAL CONTRATO+AJUSTES+IMPREVISTOS; PAGADO_CONTRATO ; PAGADO_REAJUSTES ; PAGADO_IMPREV ;" DESCUENTOS(Informativo) ";VALOR PAGADO; FECHA ÚLTIMO PAGO ; %PAGADO ;%PRG; %FISICO_PRG ;%EJEC; %FISICO_EJEC ;%DESVÍO;%PRG_$;%EJEC_$;%DESVÍO_$;SUPERVISOR;APOYO;CONTRATO/PROYECTO
ESTRUCTURAS , INTERVENTORIAS Y PROYECTOS CARIBE;ALCALDÍA;1149;Movilidad;Redes;2024;3302-187;05 CASTILLA;Obra;En ejecución;19/07/2024;165;;;165;30/12/2024;28,00; $ 431.942.882 ;;; $ 431.942.882 ;;;; $ 431.942.882 ; $ 194.320.645 ;;;; $ 194.320.645 ;;44,99%;68,48%; $ 295.794.486 ;68,48%; $ 295.794.486 ;0,00%;68,48%;68,48%;0,00%;CLAUDIA ANDREA BORREGO GARCÍA;FERNANDO ALONSO MARTÍNEZ GALEANO;
INSTITUCION EDUCATIVA JOSE ANTONIO GALAN;ALCALDÍA;95806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-195;03 MANRIQUE;Obra;En ejecución;04/09/2024;150;;;150;31/01/2025;60,00; $ 1.024.092.501 ;;; $ 1.024.092.501 ;; $ 14.728.749 ; $ 14.728.749 ; $ 1.053.549.999 ;;;;; $ - ;;0,00%;39,00%; $ 410.884.500 ;39,00%; $ 410.884.500 ;0,00%;36,00%;17,07%;-18,93%;ELIANA GÓMEZ ORREGO;PAULA ANDREA QUINTERO URIBE;
INSTITUCION EDUCATIVA MONTECARLO GUILLERMO GAVIRIA CORREA;ALCALDÍA;95806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-195;03 MANRIQUE;Obra;En ejecución;04/09/2024;120;;;120;01/01/2025;30,00; $ 557.108.731 ;;; $ 557.108.731 ;; $ 7.870.634 ; $ 7.870.634 ; $ 572.849.999 ;;;;; $ - ;;0,00%;47,00%; $ 269.239.500 ;43,00%; $ 246.325.500 ;-4,00%;45,00%;18,00%;-27,00%;ELIANA GÓMEZ ORREGO;PAULA ANDREA QUINTERO URIBE;
SECCION ESCUELA NUESTRA SEÑORA DE LAS NIEVES;ALCALDÍA;95806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-195;03 MANRIQUE;Obra;En ejecución;04/09/2024;60;;;60;02/11/2024;0,00; $ 85.420.524 ;;; $ 85.420.524 ;; $ 989.738 ; $ 989.738 ; $ 87.400.000 ;;;;; $ - ;;0,00%;99,00%; $ 86.526.000 ;99,00%; $ 86.526.000 ;0,00%;99,00%;99,00%;0,00%;ELIANA GÓMEZ ORREGO;PAULA ANDREA QUINTERO URIBE;
SECCION ESCUELA VICTOR GOMEZ RESTREPO;ALCALDÍA;95806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-195;03 MANRIQUE;Obra;En ejecución;04/09/2024;60;;;60;02/11/2024;0,00; $ 94.648.772 ;;; $ 94.648.772 ;; $ 1.125.614 ; $ 1.125.614 ; $ 96.900.000 ;;;;; $ - ;;0,00%;99,00%; $ 95.931.000 ;99,00%; $ 95.931.000 ;0,00%;99,00%;99,00%;0,00%;ELIANA GÓMEZ ORREGO;PAULA ANDREA QUINTERO URIBE;
INSTITUCION EDUCATIVA BELLO ORIENTE;ALCALDÍA;95806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-195;03 MANRIQUE;Obra;En ejecución;04/09/2024;120;;;120;01/01/2025;30,00; $ 426.067.629 ;;; $ 426.067.629 ;; $ 5.941.185 ; $ 5.941.185 ; $ 437.949.999 ;;;;; $ - ;;0,00%;47,00%; $ 205.836.500 ;47,00%; $ 205.836.500 ;0,00%;61,00%;39,00%;-22,00%;ELIANA GÓMEZ ORREGO;PAULA ANDREA QUINTERO URIBE;
INSTITUCION EDUCATIVA FE Y ALEGRIA LA CIMA;ALCALDÍA;95806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-195;03 MANRIQUE;Obra;En ejecución;04/09/2024;150;;;150;31/01/2025;60,00; $ 1.047.163.118 ;;; $ 1.047.163.118 ;; $ 15.068.441 ; $ 15.068.441 ; $ 1.077.300.000 ;;;;; $ - ;;0,00%;38,00%; $ 409.374.000 ;38,00%; $ 409.374.000 ;0,00%;14,00%;18,00%;4,00%;ELIANA GÓMEZ ORREGO;PAULA ANDREA QUINTERO URIBE;
SECCION ESCUELA ALTO DE LA CRUZ;ALCALDÍA;95806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-195;03 MANRIQUE;Obra;En ejecución;04/09/2024;60;;;60;02/11/2024;0,00; $ 198.927.958 ;;; $ 198.927.958 ;; $ 2.661.021 ; $ 2.661.021 ; $ 204.250.000 ;;;;; $ - ;;0,00%;100,00%; $ 204.250.000 ;100,00%; $ 204.250.000 ;0,00%;100,00%;100,00%;0,00%;ELIANA GÓMEZ ORREGO;PAULA ANDREA QUINTERO URIBE;
SECCION ESCUELA BELLO ORIENTE;ALCALDÍA;95806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-195;03 MANRIQUE;Obra;En ejecución;04/09/2024;120;;;120;01/01/2025;30,00; $ 493.433.830 ;;; $ 493.433.830 ;; $ 6.933.085 ; $ 6.933.085 ; $ 507.300.000 ;;;;; $ - ;;0,00%;34,00%; $ 172.482.000 ;34,00%; $ 172.482.000 ;0,00%;12,00%;12,00%;0,00%;ELIANA GÓMEZ ORREGO;PAULA ANDREA QUINTERO URIBE;
SECCION ESCUELA FE Y ALEGRIA NO. 3;ALCALDÍA;95806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-195;03 MANRIQUE;Obra;En ejecución;04/09/2024;90;;;90;02/12/2024;0,00; $ 449.097.998 ;;; $ 449.097.998 ;; $ 6.301.001 ; $ 6.301.001 ; $ 461.700.000 ;;;;; $ - ;;0,00%;38,00%; $ 175.446.000 ;38,00%; $ 175.446.000 ;0,00%;6,10%;9,50%;3,40%;ELIANA GÓMEZ ORREGO;PAULA ANDREA QUINTERO URIBE;
SECCION ESCUELA LA CIMA SAN JOSE;ALCALDÍA;95806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-195;03 MANRIQUE;Obra;En ejecución;04/09/2024;60;;;60;02/11/2024;0,00; $ 170.320.394 ;;; $ 170.320.394 ;; $ 2.239.803 ; $ 2.239.803 ; $ 174.800.000 ;;;;; $ - ;;0,00%;100,00%; $ 174.800.000 ;95,00%; $ 166.060.000 ;-5,00%;100,00%;95,00%;-5,00%;ELIANA GÓMEZ ORREGO;PAULA ANDREA QUINTERO URIBE;
SECCIÓN ESCUELA LA PORTADA;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-219;07 ROBLEDO;Obra;En ejecución;30/08/2024;90;;;90;27/11/2024;0,00;$ 289.534.170;;; $ 289.534.170 ;;;; $ 289.534.170 ;;;;; $ - ;;0,00%;35,00%; $ 101.336.960 ;36,88%; $ 106.765.725 ;1,88%;38,13%;37,50%;-0,62%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
INSTITUCIÓN EDUCATIVA RODRIGO ARENAS BETANCUR;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-219;07 ROBLEDO;Obra;En ejecución;30/08/2024;90;;;90;27/11/2024;0,00;$ 439.079.038;;; $ 439.079.038 ;;;; $ 439.079.038 ;;;;; $ - ;;0,00%;47,50%; $ 208.562.543 ;45,00%; $ 197.585.567 ;-2,50%;50,63%;45,63%;-5,00%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
INSTITUCIÓN EDUCATIVA VILLA DE LA CANDELARIA;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-219;07 ROBLEDO;Obra;En ejecución;30/08/2024;60;;;60;28/10/2024;0,00;$ 133.439.309;;; $ 133.439.309 ;;;; $ 133.439.309 ;;;;; $ - ;;0,00%;75,63%; $ 100.913.477 ;63,13%; $ 84.233.564 ;-12,50%;76,25%;60,63%;-15,63%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
INSTITUCIÓN EDUCATIVA SAN VICENTE DE PAUL;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-219;07 ROBLEDO;Obra;En ejecución;30/08/2024;90;;;90;27/11/2024;0,00;$ 388.307.632;;; $ 388.307.632 ;;;; $ 388.307.632 ;;;;; $ - ;;0,00%;49,29%; $ 191.380.189 ;47,14%; $ 183.059.312 ;-2,14%;50,00%;48,57%;-1,43%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
INSTITUCIÓN EDUCATIVA JESÚS REY;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-219;07 ROBLEDO;Obra;En ejecución;30/08/2024;60;;;60;28/10/2024;0,00;$ 479.607.988;;; $ 479.607.988 ;;;; $ 479.607.988 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
SECCIÓN ESCUELA AURES;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-219;07 ROBLEDO;Obra;En ejecución;30/08/2024;60;;;60;28/10/2024;0,00;$ 205.442.394;;; $ 205.442.394 ;;;; $ 205.442.394 ;;;;; $ - ;;0,00%;74,38%; $ 152.797.781 ;64,38%; $ 132.253.541 ;-10,00%;76,88%;66,25%;-10,63%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
INSTITUCIÓN EDUCATIVA CARACAS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-220;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;60;;;60;24/10/2024;0,00; $ 122.782.976 ;;; $ 122.782.976 ; $ - ; $ 1.498.512 ;; $ 124.281.488 ;;;;; $ - ;;0,00%;100,00%; $ 93 ;93,00%; $ 115.581.784 ;-7,00%;100,00%;79,19%;-20,81%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
INSTITUCIÓN EDUCATIVA FELIX HENAO BOTERO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-220;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;90;;;90;23/11/2024;0,00; $ 383.791.942 ;;; $ 383.791.942 ; $ - ; $ 5.181.129 ;; $ 388.973.071 ;;;;; $ - ;;0,00%;80,00%; $ 58 ;58,00%; $ 225.604.381 ;-22,00%;77,10%;26,14%;-50,96%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
INSTITUCIÓN EDUCATIVA JUAN DE DIOS CARVAJAL;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-220;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;90;;;90;23/11/2024;0,00; $ 432.429.733 ;;; $ 432.429.733 ; $ - ; $ 5.876.133 ;; $ 438.305.866 ;;;;; $ - ;;0,00%;79,00%; $ 58 ;58,00%; $ 254.217.402 ;-21,00%;80,05%;33,88%;-46,17%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
INSTITUCIÓN EDUCATIVA VIDA PARA TODOS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-220;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;30;;;30;24/09/2024;0,00; $ 49.107.326 ;;; $ 49.107.326 ; $ - ; $ 446.337 ;; $ 49.553.663 ;;;;; $ - ;;0,00%;100,00%; $ 100 ;100,00%; $ 49.553.663 ;0,00%;100,00%;100,00%;0,00%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
SECCION ESCUELA COLINAS DE ENCISO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-220;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;90;;;90;23/11/2024;0,00; $ 397.184.421 ;;; $ 397.184.421 ; $ - ; $ 5.372.790 ;; $ 402.557.211 ;;;;; $ - ;;0,00%;86,00%; $ 61 ;61,00%; $ 245.559.899 ;-25,00%;94,14%;14,60%;-79,54%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
SECCION ESCUELA HOGAR ANTIOQUIA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-220;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;90;;;90;23/11/2024;0,00; $ 316.921.907 ;;; $ 316.921.907 ; $ - ; $ 4.226.546 ;; $ 321.148.453 ;;;;; $ - ;;0,00%;82,00%; $ 60 ;60,00%; $ 192.689.072 ;-22,00%;88,52%;28,02%;-60,50%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
CENTRO EDUCATIVO LA ALDEA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-222;50 PALMITAS;Obra;En ejecución;14/10/2024;30;;;30;12/11/2024;0,00; $ 88.954.807 ;;; $ 88.954.807 ;;;; $ 88.954.807 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
CENTRO EDUCATIVO LA FRISOLA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-222;50 PALMITAS;Obra;En ejecución;23/09/2024;90;;;90;21/12/2024;19,00; $ 347.276.672 ;;; $ 347.276.672 ;;;; $ 347.276.672 ;;;;; $ - ;;0,00%;13,00%; $ 45.145.967 ;13,00%; $ 45.145.967 ;0,00%;13,00%;13,00%;0,00%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
CENTRO EDUCATIVO LUIS MESA VILLA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-222;50 PALMITAS;Obra;En ejecución;07/10/2024;60;;;60;05/12/2024;3,00; $ 107.938.179 ;;; $ 107.938.179 ;;;; $ 107.938.179 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
SECCIÓN ESCUELA PALMITAS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-222;50 PALMITAS;Obra;En ejecución;23/09/2024;90;;;90;21/12/2024;19,00; $ 248.479.762 ;;; $ 248.479.762 ;;;; $ 248.479.762 ;;;;; $ - ;;0,00%;4,00%; $ 9.939.190 ;3,00%; $ 7.454.393 ;-1,00%;4,00%;3,00%;-1,00%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
CENTRO EDUCATIVO LAS PLAYAS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-222;60 SAN CRISTOBAL;Obra;En ejecución;09/09/2024;90;;;90;07/12/2024;5,00; $ 374.912.416 ;;; $ 374.912.416 ;;;; $ 374.912.416 ;;;;; $ - ;;0,00%;25,00%; $ 93.728.104 ;10,00%; $ 37.491.242 ;-15,00%;25,00%;10,00%;-15,00%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
CENTRO EDUCATIVO SAGRADO CORAZON;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-222;60 SAN CRISTOBAL;Obra;En ejecución;26/08/2024;150;;;150;22/01/2025;51,00; $ 704.517.219 ;;; $ 704.517.219 ;;;; $ 704.517.219 ;;;;; $ - ;;0,00%;45,00%; $ 317.032.749 ;65,00%; $ 457.936.192 ;20,00%;45,00%;65,00%;20,00%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
CENTRO EDUCATIVO EL PATIO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-222;60 SAN CRISTOBAL;Obra;En ejecución;20/09/2024;90;;;90;18/12/2024;16,00; $ 350.187.808 ;;; $ 350.187.808 ;;;; $ 350.187.808 ;;;;; $ - ;;0,00%;8,00%; $ 28.015.025 ;9,00%; $ 31.516.903 ;1,00%;8,00%;9,00%;1,00%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
CENTRO EDUCATIVO PEDREGAL ALTO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-222;60 SAN CRISTOBAL;Obra;En ejecución;20/09/2024;90;;;90;18/12/2024;16,00; $ 347.724.979 ;;; $ 347.724.979 ;;;; $ 347.724.979 ;;;;; $ - ;;0,00%;14,00%; $ 48.681.497 ;2,00%; $ 6.954.500 ;-12,00%;14,00%;10,00%;-4,00%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
CENTRO EDUCATIVO BOQUERON;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-222;60 SAN CRISTOBAL;Obra;En ejecución;26/08/2024;120;;;120;23/12/2024;21,00; $ 576.248.612 ;;; $ 576.248.612 ;;;; $ 576.248.612 ;;;;; $ - ;;0,00%;43,00%; $ 247.786.903 ;57,00%; $ 328.461.709 ;14,00%;43,00%;57,00%;14,00%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
CENTRO EDUCATIVO SAN JOSE DE LA MONTAÑA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-222;60 SAN CRISTOBAL;Obra;En ejecución;26/08/2024;120;;;120;23/12/2024;21,00; $ 480.719.986 ;;; $ 480.719.986 ;;;; $ 480.719.986 ;;;;; $ - ;;0,00%;39,00%; $ 187.480.795 ;31,00%; $ 149.023.196 ;-8,00%;39,00%;31,00%;-8,00%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
INSTITUCION EDUCATIVA EDUARDO SANTOS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-224;13 SAN JAVIER;Obra;En ejecución;11/09/2024;60;;;60;09/11/2024;0,00; $ 162.146.035 ;;; $ 162.146.035 ;; $ 2.051.982 ;; $ 164.198.017 ; $ 53.907.999 ;;;; $ 53.907.999 ;;32,83%;100,00%; $ 164.198.017 ;95,00%; $ 155.988.116 ;-5,00%;100,00%;80,78%;-19,22%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
INSTITUCION EDUCATIVA EL CORAZON;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-224;13 SAN JAVIER;Obra;En ejecución;04/09/2024;90;;;90;02/12/2024;0,00; $ 389.404.838 ;;; $ 389.404.838 ;; $ 5.272.580 ;; $ 394.677.418 ; $ 19.990.694 ;;;; $ 19.990.694 ;;5,07%;92,00%; $ 363.103.225 ;63,50%; $ 250.620.160 ;-28,50%;81,00%;55,20%;-25,80%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
INSTITUCION EDUCATIVA FUNDADORES;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-224;13 SAN JAVIER;Obra;En ejecución;12/09/2024;60;;;60;10/11/2024;0,00; $ 203.699.298 ;;; $ 203.699.298 ;; $ 2.650.351 ;; $ 206.349.649 ; $ 12.265.190 ;;;; $ 12.265.190 ;;5,94%;100,00%; $ 206.349.649 ;62,00%; $ 127.936.782 ;-38,00%;100,00%;67,75%;-32,25%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
INSTITUCION EDUCATIVA JUAN XXIII;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-224;13 SAN JAVIER;Obra;En ejecución;11/09/2024;60;;;60;09/11/2024;0,00; $ 125.209.801 ;;; $ 125.209.801 ;; $ 1.520.099 ;; $ 126.729.900 ; $ 8.909.688 ;;;; $ 8.909.688 ;;7,03%;100,00%; $ 126.729.900 ;56,50%; $ 71.602.394 ;-43,50%;100,00%;40,03%;-59,97%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA BETANIA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-224;13 SAN JAVIER;Obra;En ejecución;20/08/2024;90;;;90;17/11/2024;0,00; $ 339.790.441 ;;; $ 339.790.441 ;; $ 4.558.131 ;; $ 344.348.572 ; $ 3.678.180 ;;;; $ 3.678.180 ;;1,07%;90,00%; $ 309.913.715 ;0,00%; $ - ;-90,00%;80,00%;0,42%;-79,58%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA EL SOCORRO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-224;13 SAN JAVIER;Obra;En ejecución;06/09/2024;60;;;60;04/11/2024;0,00; $ 175.997.123 ;;; $ 175.997.123 ;; $ 2.251.438 ;; $ 178.248.561 ; $ 15.152.577 ;;;; $ 15.152.577 ;;8,50%;100,00%; $ 178.248.561 ;87,00%; $ 155.076.248 ;-13,00%;100,00%;69,69%;-30,31%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA LA PRADERA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-224;13 SAN JAVIER;Obra;En ejecución;12/09/2024;90;;;90;10/12/2024;8,00; $ 407.678.554 ;;; $ 407.678.554 ;; $ 5.535.723 ;; $ 413.214.277 ; $ 39.247.005 ;;;; $ 39.247.005 ;;9,50%;51,00%; $ 210.739.281 ;53,00%; $ 219.003.567 ;2,00%;59,00%;27,15%;-31,85%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA MONSEÑOR PERDOMO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-224;13 SAN JAVIER;Obra;En ejecución;12/09/2024;60;;;60;10/11/2024;0,00; $ 185.231.181 ;;; $ 185.231.181 ;; $ 2.384.409 ;; $ 187.615.590 ; $ 129.723.714 ;;;; $ 129.723.714 ;;69,14%;100,00%; $ 187.615.590 ;100,00%; $ 187.615.590 ;0,00%;100,00%;93,07%;-6,93%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA MUNICIPAL SAN JAVIER;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-224;13 SAN JAVIER;Obra;En ejecución;06/09/2024;60;;;60;04/11/2024;0,00; $ 204.671.304 ;;; $ 204.671.304 ;; $ 2.664.348 ;; $ 207.335.652 ; $ 27.713.288 ;;;; $ 27.713.288 ;;13,37%;100,00%; $ 207.335.652 ;83,00%; $ 172.088.591 ;-17,00%;100,00%;74,09%;-25,91%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA PEDRO J GOMEZ;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-224;13 SAN JAVIER;Obra;En ejecución;16/09/2024;60;;;60;14/11/2024;0,00; $ 137.214.077 ;;; $ 137.214.077 ;; $ 1.692.961 ;; $ 138.907.038 ; $ 12.944.783 ;;;; $ 12.944.783 ;;9,32%;100,00%; $ 138.907.038 ;71,50%; $ 99.318.532 ;-28,50%;100,00%;60,30%;-39,70%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA CONTRANAL;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-228;06 DOCE DE OCTUBRE;Obra;En ejecución;30/09/2024;60;;;60;28/11/2024;0,00; $ 190.547.868 ;;; $ 190.547.868 ;; $ 2.618.886 ;; $ 193.166.754 ; $ 9.408.353 ;;;; $ 9.408.353 ;25/10/2024;4,87%;64,20%; $ 0 ;12,69%; $ 24.512.861 ;-51,51%;66,21%;12,65%;-53,56%;YUDY ALEXANDRA MARULANDA AGUDELO;ANA MARÍA SÁCHICA PÉREZ;
SECCION ESCUELA EL PICACHO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-228;06 DOCE DE OCTUBRE;Obra;En ejecución;02/09/2024;60;;;60;31/10/2024;0,00; $ 258.006.851 ;;; $ 258.006.851 ;; $ 3.639.157 ;; $ 261.646.008 ; $ 54.230.462 ;;;; $ 54.230.462 ;25/10/2024;20,73%;83,15%; $ 0 ;66,21%; $ 173.235.822 ;-16,94%;82,45%;63,02%;-19,43%;YUDY ALEXANDRA MARULANDA AGUDELO;ANA MARÍA SÁCHICA PÉREZ;
INSTITUCION EDUCATIVA BARRIO SANTANDER;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-228;06 DOCE DE OCTUBRE;Obra;En ejecución;26/08/2024;120;;;120;23/12/2024;21,00; $ 843.365.490 ;;; $ 843.365.490 ;; $ 12.386.923 ;; $ 855.752.413 ; $ 49.260.058 ;;;; $ 49.260.058 ;25/10/2024;5,76%;43,20%; $ 0 ;25,21%; $ 215.735.183 ;-17,99%;43,45%;25,53%;-17,92%;YUDY ALEXANDRA MARULANDA AGUDELO;ANA MARÍA SÁCHICA PÉREZ;
INSTITUCION EDUCATIVA EL PEDREGAL;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-228;06 DOCE DE OCTUBRE;Obra;En ejecución;16/09/2024;90;;;90;14/12/2024;12,00; $ 398.644.934 ;;; $ 398.644.934 ;; $ 5.737.095 ;; $ 404.382.029 ; $ 11.875.472 ;;;; $ 11.875.472 ;25/10/2024;2,94%;37,55%; $ 0 ;11,98%; $ 48.444.967 ;-25,57%;37,55%;11,57%;-25,98%;YUDY ALEXANDRA MARULANDA AGUDELO;ANA MARÍA SÁCHICA PÉREZ;
INSTITUCION EDUCATIVA JORGE ELIECER GAITAN;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-228;06 DOCE DE OCTUBRE;Obra;En ejecución;02/09/2024;60;;;60;31/10/2024;0,00; $ 675.010.838 ;;; $ 675.010.838 ;; $ 9.951.376 ;; $ 684.962.214 ; $ 42.261.167 ;;;; $ 42.261.167 ;25/10/2024;6,17%;62,14%; $ 0 ;35,08%; $ 240.284.745 ;-27,06%;63,00%;33,86%;-29,14%;YUDY ALEXANDRA MARULANDA AGUDELO;ANA MARÍA SÁCHICA PÉREZ;
